dcid	tpid
DC01813	TP01424
DC01947	TP00572
DC01557	TP01148
DC00264	TP00370
DC00368	TP01378
DC00355	TP00233
DC00322	TP00397
DC01809	TP01112
DC00367	TP01548
DC01408	TP00461
DC00337	TP00354
DC01386	TP00953
DC01496	TP00452
DC01496	TP01298
DC00811	TP01526
DC00092	TP00996
DC01450	TP00431
DC01090	TP00486
DC01757	TP00743
DC00960	TP00270
DC01449	TP00312
DC00449	TP00919
DC00103	TP00964
DC00068	TP01595
DC00031	TP00644
DC01324	TP00735
DC01556	TP00561
DC00551	TP00993
DC01809	TP00984
DC00337	TP00356
DC00636	TP01529
DC01197	TP01543
DC01450	TP00428
DC00720	TP00572
DC00126	TP00919
DC00363	TP01125
DC00101	TP01000
DC00173	TP00919
DC01180	TP01026
DC00500	TP00680
DC00355	TP01626
DC00171	TP01518
DC01963	TP01547
DC00446	TP00919
DC01923	TP00974
DC00545	TP00342
DC00092	TP00970
DC01775	TP00431
DC00908	TP01529
DC01715	TP01329
DC01328	TP00761
DC00067	TP00395
DC01813	TP01437
DC00436	TP00919
DC00232	TP01031
DC01698	TP00741
DC00096	TP00629
DC00355	TP00144
DC01452	TP01125
DC01894	TP00592
DC01770	TP01547
DC01612	TP00486
DC00771	TP00680
DC01229	TP01324
DC01209	TP01441
DC01210	TP00669
DC00256	TP00334
DC01180	TP01058
DC01386	TP00954
DC00467	TP00919
DC01591	TP01588
DC00960	TP00271
DC01870	TP00742
DC01600	TP01547
DC00356	TP00142
DC01963	TP01378
DC00356	TP01508
DC01211	TP01534
DC00110	TP01586
DC00361	TP00749
DC00072	TP01389
DC01984	TP00742
DC01271	TP01378
DC00553	TP00314
DC01698	TP01468
DC00201	TP00746
DC01368	TP01404
DC01090	TP00572
DC01230	TP01326
DC00072	TP01388
DC01211	TP01501
DC00993	TP00430
DC00355	TP01445
DC00607	TP00696
DC00368	TP01125
DC01600	TP01378
DC01698	TP00164
DC00322	TP00396
DC00357	TP01399
DC01209	TP01418
DC00552	TP00461
DC01715	TP01326
DC00792	TP01610
DC00946	TP00399
DC01809	TP01115
DC00364	TP01548
DC00869	TP01581
DC01600	TP01548
DC01757	TP01551
DC01813	TP01418
DC01133	TP00828
DC00110	TP00783
DC01809	TP01380
DC00360	TP00768
DC00993	TP00431
DC00031	TP00666
DC01367	TP00993
DC00811	TP01498
DC00515	TP01602
DC00510	TP01080
DC01591	TP00981
DC00598	TP00744
DC00771	TP00486
DC00356	TP01437
DC01612	TP00529
DC00975	TP00529
DC01478	TP00178
DC00453	TP00919
DC00450	TP00919
DC01211	TP01500
DC01368	TP01284
DC00767	TP00141
DC00946	TP00328
DC00500	TP01596
DC01947	TP00486
DC01386	TP00957
DC01210	TP00644
DC00767	TP00224
DC01386	TP00950
DC01496	TP01295
DC01452	TP01095
DC00507	TP00486
DC00099	TP01002
DC00507	TP00572
DC00098	TP00972
DC01727	TP01576
DC01730	TP00589
DC00299	TP00351
DC00087	TP01375
DC00038	TP00658
DC00096	TP00653
DC00764	TP00918
DC00264	TP00369
DC00553	TP00572
DC00322	TP00375
DC02128	TP00918
DC01542	TP00572
DC00797	TP00917
DC00263	TP00419
DC00098	TP00998
DC00107	TP00916
DC00087	TP01108
DC01386	TP00956
DC00781	TP01476
DC00181	TP00572
DC01712	TP01520
DC00727	TP00916
DC01384	TP00975
DC00507	TP00839
DC01813	TP01441
DC00256	TP00328
DC00103	TP00962
DC00100	TP00978
DC01037	TP00375
DC00743	TP00915
DC01729	TP00529
DC01469	TP01090
DC01665	TP01378
DC00361	TP00748
DC00331	TP00914
DC00104	TP00629
DC02035	TP00914
DC00097	TP01004
DC01639	TP00913
DC00264	TP00395
DC01324	TP00924
DC01600	TP01111
DC00360	TP00375
DC00068	TP01084
DC01477	TP01612
DC00299	TP00330
DC00368	TP01548
DC00363	TP01378
DC00031	TP00641
DC00552	TP00311
DC00181	TP00529
DC01986	TP00597
DC00098	TP00999
DC00771	TP00572
DC00975	TP00441
DC00598	TP01621
DC01639	TP00912
DC01557	TP01147
DC01148	TP00973
DC01452	TP01100
DC00356	TP00227
DC01638	TP00911
DC01324	TP00925
DC00908	TP01531
DC00307	TP00370
DC00637	TP00768
DC01986	TP00313
DC01963	TP01548
DC00767	TP00719
DC01770	TP01111
DC00452	TP00989
DC01984	TP01484
DC00607	TP00697
DC01870	TP01484
DC00361	TP00768
DC01476	TP01118
DC00865	TP00911
DC00489	TP00910
DC00490	TP00910
DC00946	TP00329
DC01770	TP01378
DC00552	TP00547
DC01556	TP01150
DC01452	TP01090
DC00366	TP01125
DC00781	TP01477
DC00232	TP01058
DC00994	TP01596
DC01408	TP00730
DC01950	TP00462
DC01809	TP00983
DC00099	TP01001
DC01730	TP01596
DC01380	TP00808
DC00002	TP00616
DC00323	TP00368
DC00553	TP00486
DC00307	TP00351
DC00104	TP00653
DC00099	TP00976
DC00322	TP00356
DC00367	TP01125
DC01047	TP00910
DC00072	TP00222
DC01180	TP01031
DC00264	TP00371
DC01209	TP01422
DC00038	TP00657
DC00368	TP01111
DC01820	TP00313
DC00490	TP00909
DC01197	TP00392
DC00960	TP00267
DC00489	TP00909
DC00960	TP00272
DC00362	TP00799
DC00071	TP01000
DC00307	TP00371
DC00361	TP00776
DC00099	TP00975
DC00002	TP01329
DC01047	TP00909
DC01820	TP00306
DC00256	TP00329
DC00720	TP01386
DC01729	TP01554
DC00767	TP01446
DC01368	TP00775
DC00637	TP01378
DC00707	TP01516
DC01367	TP00747
DC01809	TP00982
DC01760	TP01069
DC01469	TP01118
DC00072	TP00139
DC01544	TP01410
DC00553	TP00529
DC01197	TP00393
DC01020	TP00102
DC00546	TP00381
DC01682	TP00730
DC01386	TP00949
DC01052	TP00908
DC00067	TP01596
DC01356	TP00445
DC00096	TP00654
DC01809	TP01114
DC00707	TP00572
DC01681	TP01404
DC01963	TP01125
DC00101	TP00974
DC01636	TP00907
DC01395	TP00712
DC01510	TP00906
DC00835	TP00826
DC01368	TP00761
DC01322	TP01497
DC00002	TP01326
DC01322	TP00589
DC00555	TP00825
DC01972	TP00943
DC00508	TP01519
DC00232	TP01026
DC00761	TP00906
DC01417	TP00715
DC00867	TP01581
DC00087	TP01122
DC00201	TP00347
DC00357	TP00139
DC01210	TP00666
DC01809	TP01129
DC01727	TP00295
DC01356	TP00446
DC00424	TP01330
DC00362	TP00797
DC01753	TP01584
DC01809	TP01382
DC01477	TP01119
DC00767	TP00720
DC01579	TP01549
DC00401	TP00905
DC00870	TP00436
DC00835	TP00828
DC01682	TP00461
DC00337	TP00375
DC01561	TP01517
DC00870	TP00775
DC00366	TP01548
DC00707	TP00486
DC00092	TP00969
DC01210	TP00641
DC00103	TP00995
DC01809	TP01126
DC00870	TP00395
DC01497	TP00713
DC01208	TP00905
DC01556	TP00475
DC00103	TP00994
DC00128	TP00904
DC01923	TP01000
DC01314	TP00164
DC00360	TP00748
DC00767	TP00223
DC01556	TP00518
DC00869	TP00782
DC00322	TP00354
DC00232	TP01063
DC01497	TP00448
DC01440	TP00223
DC01386	TP00952
DC00096	TP00628
DC00546	TP01449
DC01542	TP01080
DC00355	TP01426
DC01829	TP00692
DC00424	TP01117
DC00362	TP00796
DC00362	TP00795
DC00031	TP00669
DC01683	TP00978
DC01820	TP00307
DC01021	TP00903
DC01963	TP01111
DC01440	TP00141
DC01809	TP01127
DC01211	TP01541
DC01820	TP00308
DC00856	TP00451
DC00360	TP00354
DC00181	TP00981
DC00263	TP00331
DC00256	TP00327
DC00323	TP00367
DC01770	TP01548
DC00867	TP01630
DC00356	TP01418
DC01813	TP01422
DC00964	TP00902
DC00510	TP01596
DC01809	TP00901
DC00363	TP01111
DC01452	TP01378
DC01290	TP00288
DC00555	TP00808
DC00720	TP00529
DC00364	TP01378
DC00618	TP00901
DC00946	TP00327
DC00337	TP00397
DC01753	TP01378
DC00508	TP00529
DC01973	TP00981
DC00508	TP00572
DC00357	TP01388
DC00770	TP00681
DC01356	TP00454
DC01067	TP00901
DC00615	TP00901
DC00770	TP00533
DC01148	TP00977
DC01682	TP00504
DC01813	TP01443
DC01037	TP00768
DC01612	TP00431
DC01715	TP01335
DC00307	TP00369
DC00072	TP01399
DC01229	TP00609
DC01180	TP01063
DC00360	TP00397
DC01612	TP00572
DC00994	TP00395
DC00002	TP01335
DC01271	TP00375
DC01775	TP00436
DC01542	TP00529
DC00792	TP01507
DC01440	TP00224
DC01950	TP00777
DC00364	TP01111
DC01314	TP01468
DC00357	TP00222
DC01440	TP01427
DC01809	TP01128
DC01729	TP00486
DC01947	TP00529
DC01085	TP00900
DC01809	TP00900
DC01090	TP00529
DC00403	TP01582
DC00723	TP00900
DC01542	TP00486
DC00720	TP00486
DC00282	TP00345
DC01386	TP00959
DC01066	TP00900
DC00767	TP00140
DC01645	TP00900
DC00770	TP00490
DC01682	TP00547
DC01383	TP00978
DC00098	TP00971
DC00636	TP00772
DC00618	TP00900
DC01440	TP00140
DC00092	TP00997
DC00367	TP01378
DC01384	TP00976
DC01591	TP01589
DC00975	TP00486
DC01440	TP01446
DC01328	TP00775
DC01478	TP00201
DC00975	TP00572
DC00071	TP00974
DC01197	TP01537
DC00360	TP00356
DC00104	TP00628
DC01067	TP00900
DC00100	TP01003
DC00615	TP00900
DC00551	TP00747
DC00856	TP00450
DC01809	TP00899
DC00104	TP00654
DC01715	TP01080
DC01395	TP00448
DC00364	TP01125
DC01809	TP01381
DC00367	TP01111
DC00618	TP00899
DC00770	TP00576
DC01067	TP00899
DC00282	TP00338
DC00615	TP00899
DC01356	TP00444
DC00767	TP01427
DC00171	TP01625
DC00552	TP00504
DC01947	TP00839
DC00707	TP00529
DC01809	TP00898
DC00363	TP01548
DC01085	TP00898
DC00360	TP00749
DC01533	TP00898
DC01452	TP01111
DC01408	TP00504
DC01729	TP00572
DC01230	TP00610
DC00360	TP00776
DC00366	TP01378
DC01823	TP00606
DC00145	TP00898
DC00087	TP00978
DC00038	TP00633
DC01386	TP00955
DC01809	TP01379
DC01712	TP01589
DC01417	TP00714
DC00545	TP00835
DC01133	TP00826
DC00366	TP01111
DC00701	TP00436
DC00357	TP01389
DC01645	TP00898
DC01950	TP00548
DC01066	TP00898
DC01579	TP01502
DC01324	TP00734
DC00280	TP00382
DC01962	TP01183
DC00565	TP01292
DC01188	TP01045
DC01357	TP01173
DC01627	TP01389
DC00526	TP00224
DC00615	TP00898
DC00888	TP00347
DC00131	TP01546
DC01472	TP01464
DC00981	TP01287
DC01126	TP01211
DC01263	TP00228
DC00948	TP00354
DC01111	TP01512
DC01969	TP00140
DC01349	TP00775
DC01067	TP00898
DC00137	TP00158
DC00618	TP00898
DC00570	TP00187
DC01389	TP01604
DC01768	TP01289
DC01123	TP01418
DC00723	TP00898
DC01332	TP00775
DC01129	TP00600
DC01855	TP00665
DC01350	TP00785
DC01741	TP01335
DC00905	TP01540
DC01357	TP01161
DC00532	TP01087
DC00958	TP01160
DC01474	TP00661
DC00691	TP01377
DC01962	TP01152
DC01433	TP00625
DC01357	TP01236
DC00140	TP00102
DC01173	TP00656
DC00168	TP01316
DC01203	TP01275
DC01929	TP01440
DC00312	TP00354
DC01140	TP00173
DC01325	TP00322
DC00154	TP01608
DC00463	TP01602
DC01670	TP01176
DC01651	TP00630
DC00620	TP01614
DC00115	TP01335
DC01357	TP01204
DC01934	TP01151
DC01357	TP01235
DC00623	TP00983
DC01254	TP01550
DC01980	TP00948
DC01020	TP00103
DC01844	TP01497
DC00484	TP00293
DC01716	TP00838
DC00292	TP00331
DC00886	TP00675
DC01518	TP00185
DC01654	TP00655
DC01026	TP01292
DC01734	TP01525
DC01873	TP00192
DC01980	TP00947
DC00407	TP00698
DC01942	TP00243
DC01122	TP01108
DC01415	TP00718
DC01902	TP01200
DC00148	TP01031
DC01284	TP00285
DC00433	TP01475
DC00955	TP01551
DC00306	TP00330
DC01672	TP01243
DC00719	TP01090
DC01357	TP01193
DC01989	TP01441
DC00606	TP00839
DC00951	TP00340
DC01819	TP00165
DC01670	TP01227
DC01405	TP00276
DC01453	TP00961
DC00302	TP00353
DC01554	TP00979
DC01111	TP01511
DC01856	TP00672
DC01954	TP01199
DC00526	TP00223
DC00710	TP00149
DC00034	TP00663
DC01705	TP01395
DC01441	TP01292
DC01983	TP00223
DC00399	TP00656
DC01088	TP01125
DC01964	TP00775
DC00455	TP00836
DC00491	TP01213
DC00959	TP00197
DC01885	TP00972
DC01675	TP01254
DC01474	TP00637
DC00470	TP01602
DC00688	TP00356
DC00465	TP01538
DC00649	TP01318
DC00824	TP00775
DC01177	TP00631
DC01374	TP00298
DC01744	TP00981
DC01515	TP00792
DC01888	TP01272
DC00312	TP00356
DC01399	TP00708
DC01131	TP00811
DC00641	TP00668
DC01691	TP01311
DC00086	TP01596
DC00029	TP00643
DC01198	TP01376
DC01111	TP01514
DC01513	TP00223
DC00600	TP01376
DC00118	TP00221
DC00339	TP00370
DC01669	TP01241
DC01536	TP00683
DC01409	TP00722
DC00269	TP00363
DC01031	TP00935
DC01265	TP01603
DC00492	TP01574
DC00262	TP00377
DC00532	TP01102
DC00140	TP00103
DC01862	TP00655
DC01462	TP01395
DC01969	TP00224
DC00138	TP00137
DC01378	TP00793
DC01858	TP00656
DC01774	TP00208
DC00056	TP00146
DC00998	TP01044
DC00832	TP00224
DC01186	TP00940
DC01301	TP01484
DC01810	TP00983
DC00542	TP00661
DC01981	TP00952
DC01871	TP01495
DC00293	TP00341
DC01357	TP01257
DC01425	TP00600
DC00443	TP00421
DC01388	TP01404
DC01195	TP00655
DC01942	TP00258
DC00269	TP00362
DC01199	TP01584
DC01743	TP00981
DC01427	TP00650
DC01471	TP01374
DC00721	TP01533
DC00999	TP01193
DC00821	TP01280
DC01474	TP00636
DC01512	TP00225
DC01279	TP00285
DC00161	TP00190
DC00788	TP01415
DC01250	TP01011
DC01345	TP00775
DC00084	TP00393
DC00832	TP00223
DC01672	TP01187
DC00037	TP00630
DC00691	TP01110
DC01889	TP01503
DC01902	TP01157
DC01443	TP00170
DC01357	TP01258
DC01536	TP00680
DC00033	TP00630
DC01589	TP01556
DC00569	TP01583
DC01969	TP01427
DC01295	TP00190
DC00788	TP01414
DC00268	TP00389
DC01437	TP00825
DC01399	TP00710
DC01786	TP00945
DC01357	TP01172
DC01538	TP00978
DC00017	TP00650
DC01983	TP00224
DC00613	TP01034
DC00405	TP01589
DC01883	TP00279
DC01593	TP01593
DC01020	TP00104
DC01981	TP00954
DC01810	TP00982
DC01427	TP00625
DC00473	TP01496
DC01138	TP00816
DC01156	TP01017
DC00305	TP00408
DC01821	TP00605
DC01027	TP01292
DC01025	TP01290
DC01904	TP01584
DC01357	TP01192
DC01713	TP01605
DC01670	TP01240
DC01856	TP00647
DC01660	TP00656
DC01576	TP01363
DC00844	TP00407
DC00138	TP00154
DC01259	TP00655
DC01769	TP01221
DC00647	TP01378
DC00718	TP00452
DC00370	TP00275
DC00842	TP01303
DC01206	TP00395
DC01961	TP00287
DC00448	TP01544
DC00472	TP01515
DC01489	TP01292
DC00905	TP01533
DC00958	TP01203
DC01175	TP01063
DC00399	TP00655
DC01763	TP00301
DC01195	TP00630
DC00935	TP00391
DC01805	TP01452
DC01000	TP01200
DC00246	TP00421
DC00151	TP01096
DC01878	TP01378
DC01168	TP00631
DC01237	TP00631
DC01762	TP01586
DC01596	TP01596
DC01509	TP01575
DC01317	TP00763
DC00682	TP00193
DC01769	TP01170
DC01344	TP00757
DC01619	TP01547
DC01534	TP00289
DC00958	TP01189
DC01291	TP00165
DC00499	TP01598
DC00405	TP01588
DC00243	TP01587
DC01357	TP01214
DC00244	TP00416
DC01749	TP01593
DC01357	TP01215
DC01110	TP01263
DC00942	TP00375
DC01810	TP00985
DC01573	TP01404
DC00385	TP00775
DC00958	TP01255
DC01240	TP01469
DC01144	TP01134
DC00253	TP00374
DC01104	TP01375
DC01748	TP00292
DC00595	TP01595
DC01490	TP01459
DC00485	TP01207
DC00033	TP00631
DC01859	TP00637
DC01419	TP01378
DC01750	TP01575
DC01035	TP01391
DC01954	TP01186
DC00060	TP00285
DC00033	TP00655
DC01357	TP01246
DC00639	TP01028
DC00030	TP00634
DC01094	TP00826
DC01881	TP01202
DC00485	TP01164
DC00320	TP00420
DC01155	TP01111
DC01171	TP01029
DC01613	TP01586
DC01942	TP00265
DC01836	TP01529
DC01087	TP01598
DC00487	TP01216
DC00999	TP01192
DC00341	TP00383
DC01886	TP01369
DC00711	TP00149
DC00115	TP01326
DC00568	TP01462
DC01115	TP01481
DC01672	TP01180
DC00892	TP00981
DC00909	TP01494
DC01267	TP00729
DC01183	TP01010
DC01754	TP01187
DC00596	TP01595
DC00018	TP00631
DC00116	TP01334
DC00915	TP01493
DC01378	TP00791
DC01902	TP01170
DC00494	TP01452
DC00442	TP01403
DC01954	TP01231
DC01784	TP01090
DC01521	TP00284
DC01672	TP01252
DC01672	TP01221
DC00258	TP00380
DC01398	TP00721
DC01311	TP00789
DC01357	TP01222
DC01448	TP00313
DC01597	TP00324
DC01663	TP01060
DC00613	TP01032
DC00384	TP01558
DC01323	TP01591
DC01022	TP01067
DC01375	TP00218
DC00140	TP00104
DC01400	TP00721
DC00613	TP01066
DC00621	TP01063
DC01776	TP01073
DC00506	TP01404
DC00887	TP00169
DC01768	TP01286
DC00682	TP00194
DC01232	TP01120
DC00197	TP00832
DC01969	TP00223
DC00047	TP00801
DC00369	TP01095
DC01881	TP01160
DC01692	TP00182
DC01142	TP01404
DC01505	TP00775
DC00873	TP01431
DC01088	TP01378
DC00065	TP00165
DC00958	TP01202
DC01851	TP00960
DC01774	TP01604
DC00279	TP00348
DC01007	TP00362
DC01618	TP00774
DC01108	TP01501
DC01190	TP01019
DC01617	TP01419
DC00345	TP00331
DC01695	TP00741
DC00140	TP00105
DC00275	TP00349
DC01519	TP01466
DC01020	TP00105
DC01187	TP00940
DC01185	TP00631
DC00462	TP01538
DC00426	TP01329
DC01313	TP01598
DC01480	TP01498
DC01788	TP01151
DC00070	TP00288
DC00504	TP01429
DC00428	TP00332
DC00388	TP01598
DC01002	TP01620
DC00944	TP00381
DC01089	TP01555
DC00487	TP01175
DC01893	TP01586
DC01911	TP01263
DC00202	TP01480
DC01444	TP00383
DC01867	TP01492
DC00476	TP01602
DC01535	TP01335
DC00619	TP01365
DC00034	TP00639
DC01418	TP00276
DC00831	TP00228
DC01167	TP00941
DC00853	TP00448
DC01756	TP01576
DC00414	TP01233
DC01769	TP01264
DC01601	TP01075
DC01191	TP00176
DC00312	TP00375
DC01670	TP01152
DC01491	TP01415
DC00477	TP01602
DC00992	TP00431
DC01553	TP01540
DC01652	TP00630
DC01774	TP00205
