canonical_smiles	0	1	2	3	4
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	1.5540218	-0.79625416	0.87293375	-0.43941545	-1.488202
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	-1.0086887	-1.8656741	-2.160321	1.0168409	0.9030285
CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N4CCN(CC4)c5ccccc5)S(=O)(=O)c6cccc7cnccc67	0.5311785	-0.94593096	-0.75278926	-0.5595849	-0.015169442
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.10395986	-0.5266149	1.0332729	1.0362277	-1.483719
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.31869665	-1.1190047	1.0894269	1.2908807	-1.6448162
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.3114986	-0.40346527	0.82501465	1.0301216	-1.5360038
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.6581912	-0.82558376	1.1294929	-0.91069156	-1.680128
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.017554462	-0.47300285	1.0887603	0.74412	-1.7728748
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.4781862	-1.0310901	0.5570239	0.50661	-1.4148226
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.41455933	-0.7440726	-0.14344631	2.680967	-0.6445536
COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	0.41171548	-0.8119371	0.42951337	0.9142109	-1.6229767
COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	0.7318145	0.40916243	-2.0799067	0.79244876	-0.49931902
COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O	0.434915	-0.7547217	1.0568469	-0.073886886	-1.778142
COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O	-0.9345377	-1.7816255	-2.584422	1.157332	1.8959118
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	0.037303627	-0.21647167	-0.70536613	-0.28745645	0.8550605
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	-0.7270998	-2.1020272	-1.5202022	0.7404542	0.3175091
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.97794056	0.33984095	1.0067606	0.41154593	-1.3110887
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.84812367	-0.85656345	1.1672518	0.5111511	-1.5779299
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.8716678	-0.26641154	0.8091687	0.30734795	-1.5461142
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	1.0743304	-0.011714846	1.0892107	1.0747603	-0.94367945
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	1.1376073	-0.18718606	0.50885165	-0.7054278	-0.90197897
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.30627602	0.008802533	-1.346409	-2.1167388	0.7336369
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	0.18992978	-0.33915275	1.296567	0.61401236	-1.4356025
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	0.8661697	-0.4885159	0.94133323	0.96891516	-1.2327044
