canonical_smiles	0	1	2	3	4
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	-1.4676106	1.0831656	1.78293	-0.631732	1.3461218
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	0.8177924	2.209608	-2.3215046	2.4533067	-0.61794424
CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N4CCN(CC4)c5ccccc5)S(=O)(=O)c6cccc7cnccc67	-0.6089446	1.0401988	-0.12755889	0.07387897	0.043521404
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.56676537	1.5885912	-0.76739895	-1.006439	0.24345464
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.111289695	1.6513312	1.2770897	-1.2455512	0.428264
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-1.4300021	1.3764808	-0.84427845	-0.8756038	0.044934154
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	1.5286899	1.6391689	1.263699	-1.1255648	1.2630372
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.67537594	1.5191797	-0.5556152	-1.291732	0.87329936
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.88720226	1.4448918	0.61965895	-0.83932793	0.31062162
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.44813752	1.4407464	0.35440183	0.29641348	0.5765396
COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	-0.78897977	1.2352469	0.1730394	-0.31431055	1.7213811
COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	0.12801969	0.6502919	0.53394485	0.2775032	0.92252314
COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O	-0.43085635	1.7053258	-0.328231	-1.3673213	1.1339884
COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O	0.96028316	2.1527872	-2.8908594	3.1398797	-1.3005778
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	-0.08548564	0.4703779	0.5813383	0.6094784	0.12544292
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	0.25228086	1.8706108	-1.77029	2.005031	-0.3202745
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.19027609	0.96449137	1.3565149	-1.4995401	0.023498714
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.5419746	1.2261184	0.7680127	-1.448492	0.58937156
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.24474837	1.3414055	-0.064533725	-0.9851058	0.16154772
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.77778774	0.7336376	-0.031227108	-1.3110247	0.8785355
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.8920292	0.9366308	0.07126549	-0.84514546	1.2421887
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-1.0268083	0.74676675	0.9359814	0.5660089	0.015962176
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-1.2059782	1.0078768	-0.104055755	-1.3651193	1.0592295
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.512635	1.3043122	-0.004589839	-1.4957746	0.24737555
