canonical_smiles	0	1	2	3	4
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	-0.13721827	-0.839875	1.7928804	-0.055858407	-1.6006348
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	1.04026	0.2271812	-0.9573068	-3.6254573	1.9922694
CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N4CCN(CC4)c5ccccc5)S(=O)(=O)c6cccc7cnccc67	-0.21022445	0.52090776	0.36202216	-0.9989443	-0.5571108
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.41213292	0.32797343	1.6792822	0.40495434	-1.331316
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.99133027	0.83926433	1.9982553	0.17229627	-0.23853149
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.19060338	-1.683705	2.0774558	0.27432096	-0.71409404
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.6597712	-0.76172537	2.0954542	0.060052752	0.07519266
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.23606384	-0.9702029	1.9327648	0.7271058	0.027101189
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	0.8403584	0.47865766	1.6370466	0.33404052	-0.12151107
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	1.0266073	0.43128598	1.5448734	-0.8645351	-0.5645673
COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	0.47590277	0.06400478	2.1365836	-0.6606132	-0.08534047
COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	0.83001983	-0.793146	-0.20976764	-0.45895368	0.24713346
COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O	0.096415356	-0.27095956	1.7790699	0.4821133	-0.7913568
COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O	1.4997385	-0.26890907	-1.3903757	-3.6955426	2.2843804
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	0.34505725	-0.011640251	-0.43980068	-0.934872	-0.123469695
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	0.86004543	0.38213697	-0.17970821	-2.6295078	1.0591179
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.46688813	0.32872248	1.4900528	0.7945216	0.43627676
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.71255505	-0.06575385	1.6531354	0.6417476	0.0569382
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.92925847	-1.4666425	1.6926432	0.53347296	-0.1750572
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.5058012	0.07073651	1.4960294	0.3341027	-2.0750513
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.6803739	-0.42398074	1.6866876	0.33393553	0.33615953
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.8356147	0.23451439	-0.16740558	-0.89900106	1.2214357
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	0.28579938	1.2959241	1.7905316	0.79859954	-0.79873973
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	0.16143483	0.40290293	1.4249523	0.8943145	-1.2931584
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	0.35142308	-0.9873159	1.3693053	0.44531617	-1.2835655
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	0.6453897	0.14451171	1.6560634	0.28447604	1.0422677
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	0.8011974	0.38155377	1.0874709	0.4421825	-1.1432264
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	0.39507917	-1.0284714	1.0853299	-0.6730476	-0.600982
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	0.6154785	0.316615	-0.5480015	-2.4541442	1.4471166
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	1.3652892	0.072696865	-0.05283378	-3.133999	1.1438013
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	0.5333404	-0.0621922	1.6507497	0.6342635	-1.8473403
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	0.08816752	-0.7636761	2.1817472	0.3683638	-1.0730597
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	0.98736084	-1.3075052	1.7435131	0.36021125	0.72436976
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	0.1618694	-0.29370058	2.0697718	0.34594312	1.1949804
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	0.4091949	0.31372762	1.7081325	-0.15778522	0.48948693
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	1.2186345	0.09772642	1.2012432	-1.3822505	-0.431602
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	-0.47903484	-0.019659355	0.92344326	-1.4928651	-1.2921116
COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1	0.10075833	0.7399849	2.0171952	0.079561144	-0.464851
COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1	1.5619051	-0.36530715	0.13854982	-0.7769016	-1.3603852
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	0.459699	0.55422735	2.028501	0.5861875	0.6190597
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	0.7407123	-1.7330294	2.0858653	0.11868763	0.5770988
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	0.11128762	0.668915	1.9835396	0.3040719	0.06463531
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	0.71307546	-0.1314029	2.3345613	0.040919036	0.25421372
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	0.01559931	0.8861619	2.1005433	0.3252253	0.2856901
