canonical_smiles	0	1	2	3	4
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	-0.087765455	1.1666772	-0.46402127	1.4644606	-0.3598742
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	2.9794035	1.0561026	-0.49012938	-0.6980492	1.7385185
CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N4CCN(CC4)c5ccccc5)S(=O)(=O)c6cccc7cnccc67	0.5024103	1.21421	0.4245444	0.6965555	-0.33205807
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.5857123	-0.3880126	-0.7254861	1.7988939	-0.29899216
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.31641477	0.04377649	0.4135021	2.1597967	-0.72190034
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.52904654	1.1557264	-1.1334999	1.873564	-1.1426402
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.15774956	0.9894847	-0.92738783	2.0310934	0.46674392
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.4512336	-0.58476365	-0.57857865	1.8246707	0.9744944
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.23337941	0.73029137	-0.20866996	1.6733643	-0.9680613
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	1.0682607	-1.3184584	-1.3015916	1.0661339	-0.9654598
COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	0.11863705	0.9308264	-0.8299548	1.6062809	0.15152964
COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	0.6575868	-0.520399	-0.1776005	-0.0609484	-1.8125701
COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O	-0.3581291	1.5486478	0.21505558	1.8633535	-0.27061677
COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O	3.4930184	0.580331	-0.53180796	-0.8406058	1.6940647
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	1.2125697	0.30680522	0.39254376	-0.1985783	-0.28396827
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	1.764195	0.8893333	-0.38116667	-0.084220804	1.742183
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.9686887	-0.9902754	-0.7355548	1.580827	-1.4273748
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.6822655	-0.13446099	-0.9844812	1.7430494	0.3094197
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.6513218	0.12064388	-1.0227005	1.6100386	-1.5239966
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.77466875	0.017530069	-0.7614641	1.5175132	-0.7331866
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.14309746	-1.0214365	0.03042975	1.1916593	-0.18528765
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.8783666	0.23403066	0.602384	0.3314336	-0.5945081
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.9699368	-0.4172656	-0.5212329	1.4987638	0.096378654
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.7800549	1.2231667	-0.065482795	1.7756319	-0.42484924
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.94586396	0.2448101	-0.5777372	1.6907723	-0.6755216
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.61353624	0.2867728	-0.7256293	1.8037401	-1.5800575
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.7880844	-0.45812556	-0.2724989	1.3053831	-0.3323065
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	0.64606684	-0.6372653	-1.1447939	1.0635107	1.1577034
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	2.290846	0.1978349	-0.40939206	-0.18149161	1.3309053
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	1.9743083	1.0962453	-0.70709944	0.13448271	1.7577001
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-0.33266902	-0.34792244	-0.12854058	2.0069706	-0.8383239
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-0.7796793	0.08474617	-0.43235517	1.8644795	-0.923084
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-0.4641258	-0.57501465	-0.7891137	2.1123269	0.3091296
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-0.21503244	-0.79480493	-0.27296558	1.8143396	-0.17584652
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-0.27043837	1.3888144	-0.5374006	1.7560226	-1.1737139
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	0.63759965	-0.35995895	-0.74793047	0.8311893	-0.7108994
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	1.4548968	-2.1342604	-0.88856936	0.8846419	-0.16910994
COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1	-0.33748925	0.79452753	-0.5825489	2.110931	0.4827902
COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1	0.6908184	-0.8658196	-0.12635636	0.3441706	0.20260671
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-0.6079745	1.6225127	-1.2267683	2.0686707	-0.33731398
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-0.600925	-0.8809847	-1.2887719	2.0991738	-0.020731479
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-0.29554418	0.70440817	-1.0913715	1.729072	-0.6029694
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-0.42057517	-1.4027644	-0.22658792	1.4984381	-1.2969681
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-0.20809504	1.1688073	-0.6129581	1.7904601	-0.6429246
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-0.23693633	-0.45041654	-0.08258888	1.617384	-0.57816815
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	1.1267294	0.48590192	0.46578205	-0.5068007	-0.9894041
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	-0.7839334	-0.9746603	-0.65602744	1.93109	-0.09511253
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	-0.6570642	1.0364672	-0.7491046	1.8108714	-0.7148429
